6
Rengar,Mordekaiser,Taric,Trundle,Galio,Soraka,Fiora,Tristana,Brand,Tryndamere
Fiora,Varus,Fizz,Cho’Gath,Vayne,Orianna,Diana,Sivir,Jarvan,Leona
Taric,Karma,Thresh,Morgana,Talon,Hecarim,Gragas,Cho’Gath,Pantheon,Mordekaiser
Riven,Rengar,Vayne,Diana,Soraka,Rammus,Janna,Galio,Jax,Singed
Karma,Trundle,Janna,Alistar,Karthus,Vi,Brand,Maokai,Jayce,Mordekaiser
Garen,Mordekaiser,Swain,Shaco,Shyvana,Evelynn,Olaf,Karthus,Teemo,Fiora
Karma,Karthus,Nautilus,Dr.Mundo,Diana,Caitlyn,Elise,Shen,Alistar,Pantheon,1
Mordekaiser,Galio,Urgot,Heimerdinger,Twisted,Brand,Jax,Lulu,Pantheon,Karthus,1
Hecarim,Katarina,Kayle,Jarvan,Darius,Ryze,Rengar,Shen,Shyvana,Fiora,2
Udyr,Blitzcrank,Ashe,Teemo,Kayle,Mordekaiser,Ezreal,Rengar,Gragas,Amumu,1
Swain,Nasus,Morgana,Irelia,Sejuani,Pantheon,Maokai,Jarvan,Viktor,Lux,1
Shaco,Viktor,Katarina,Twisted,Darius,Poppy,Shyvana,Skarner,Trundle,Brand,2
Vi,Diana,Lulu,Amumu,Shyvana,Fiora,Kayle,Sion,Cho'Gath,Thresh,1
Tristana,Cho'Gath,Janna,Urgot,Kha'Zix,Draven,Trundle,Ryze,Shyvana,Malzahar,1
Alistar,Maokai,Brand,Annie,Diana,Lux,Soraka,Gragas,Karthus,Ezreal,1
Lulu,Blitzcrank,Maokai,Katarina,Thresh,Teemo,Shyvana,Kha'Zix,Anivia,Amumu,2
Kennen,LeBlanc,Vi,Leona,Jarvan,Fiddlesticks,Sivir,Miss,Nocturne,Graves,1
Ezreal,Anivia,Brand,Singed,Shaco,Twitch,Diana,Vayne,Mordekaiser,Fiora,2
Riven,Orianna,Kog'Maw,Ezreal,Nami,Jax,Singed,Darius,Diana,Trundle,1
Fiora,Thresh,Malphite,Sivir,Galio,Shen,Nidalee,Diana,Heimerdinger,Kassadin,1
Amumu,Caitlyn,Akali,Diana,Vayne,Twisted,Cho'Gath,Galio,Draven,Pantheon,2
Twitch,Nami,Cho'Gath,Ryze,Morgana,Shaco,Vayne,Katarina,Gragas,Mordekaiser,1
Fiora,Jax,Anivia,Caitlyn,Draven,Mordekaiser,Brand,Shyvana,Pantheon,Kennen,1
Sivir,Draven,Skarner,Kennen,Brand,Master,Thresh,Mordekaiser,Diana,LeBlanc,2
Alistar,Gragas,Corki,Twisted,Galio,Jayce,Thresh,Syndra,Ashe,Sona,1
Orianna,Shyvana,Nocturne,Tristana,Sion,Alistar,Diana,Ashe,Nami,Shen,2
Darius,Karma,Cho'Gath,Nasus,Master,Jarvan,Brand,Draven,Blitzcrank,Diana,1
Janna,Master,Alistar,Malphite,Singed,Shen,Varus,Darius,Corki,Karthus,1
Alistar,Kog'Maw,Sejuani,Annie,Trundle,Renekton,Malphite,Nunu,Lulu,Rammus,2
Diana,Sion,Janna,Teemo,Miss,Talon,Viktor,Morgana,Ryze,Amumu,1
Garen,Malphite,Leona,Morgana,Fiora,Swain,Maokai,Kog'Maw,Dr.Mundo,Galio,1
Nami,Mordekaiser,Shyvana,Heimerdinger,Urgot,Morgana,Cho'Gath,Fiddlesticks,Akali,Darius,2
Thresh,Pantheon,Morgana,Shyvana,Poppy,Swain,Nami,Elise,Twisted,Twitch,2
Twisted,Rammus,Morgana,Jayce,Tristana,LeBlanc,Shen,Shaco,Thresh,Garen,1
Urgot,Hecarim,Amumu,Gragas,Janna,Cho'Gath,Alistar,Mordekaiser,Swain,Veigar,2
Kassadin,Fiora,Morgana,Shyvana,Akali,Viktor,Trundle,Poppy,Kha'Zix,Kennen,2
Kha'Zix,Thresh,Morgana,Diana,Corki,Fizz,Pantheon,Alistar,Nocturne,Nautilus,2
Kayle,Katarina,Jax,Evelynn,Thresh,Twisted,Alistar,Rammus,Darius,Morgana,2
Urgot,Thresh,Kennen,Irelia,Vi,Akali,Annie,Fiora,Trundle,Udyr,2
Lux,Cho'Gath,Hecarim,Irelia,Lee,Miss,Shyvana,Blitzcrank,Sivir,Draven,2
Fiora,Renekton,Kennen,Vayne,Ryze,Nautilus,Annie,Blitzcrank,Shaco,Urgot,2
Nidalee,Cho'Gath,Nasus,Vi,Lee,Mordekaiser,Annie,Evelynn,Shyvana,Trundle,2
Fiora,Diana,Jarvan,Blitzcrank,Elise,Renekton,Kassadin,Lux,Corki,Caitlyn,1
Diana,Tryndamere,Poppy,Ezreal,Gragas,Riven,Kayle,Fiora,Ashe,Irelia,1
Lee,Veigar,Twisted,Nami,Varus,Tryndamere,Darius,Fiddlesticks,Janna,Taric,1
Urgot,Maokai,Viktor,Kayle,Sona,Shaco,Fiddlesticks,Nami,Veigar,Karma,2
Evelynn,Vi,Jax,Darius,Ashe,Ezreal,Nocturne,Swain,Twitch,Fiora,1
Leona,Shen,Graves,Morgana,Fiora,Urgot,Amumu,Caitlyn,Vi,Riven,2
Teemo,Sion,Diana,Shaco,Alistar,Lulu,Sona,Olaf,Sivir,Mordekaiser,1
Irelia,Blitzcrank,Kha'Zix,Alistar,Diana,Anivia,Trundle,Caitlyn,Brand,Kayle,2
Taric,Gragas,Urgot,Teemo,Vayne,Caitlyn,Fiora,Draven,Viktor,Mordekaiser,2
Kayle,Lulu,Ashe,Draven,Nidalee,Nocturne,Caitlyn,Galio,Malphite,Irelia,2
Shen,Diana,Anivia,Mordekaiser,Twitch,Veigar,Ezreal,Jayce,Soraka,Sion,2
Jax,Shyvana,Fiddlesticks,Rammus,Cho'Gath,Ashe,Heimerdinger,Alistar,Shaco,Fiora,1
Vi,Annie,Kayle,Rumble,Tristana,Mordekaiser,Thresh,Lux,Lee,Nautilus,1
Viktor,Teemo,Skarner,Katarina,Sona,Sejuani,Riven,Fiora,Malzahar,Kha'Zix,2
Fiora,Rumble,Cassiopeia,Talon,Corki,Orianna,Teemo,Lux,Fiddlesticks,Twisted,1
Trundle,Teemo,Mordekaiser,Thresh,Caitlyn,Morgana,Nautilus,Alistar,Fiora,Shyvana,1
Galio,Evelynn,Riven,Gragas,Tryndamere,Shaco,Mordekaiser,Soraka,Garen,Diana,1
Vi,Akali,Cho'Gath,Fiddlesticks,Ezreal,Malphite,Thresh,Fiora,Karthus,Darius,2
Lux,Garen,Morgana,Sona,Orianna,Cassiopeia,Fiora,Leona,Kha'Zix,Rumble,2
Nunu,Darius,Annie,Alistar,Soraka,Nidalee,Ashe,Shen,Garen,Anivia,2
Vayne,Shaco,Twitch,Kayle,Brand,Trundle,Lux,Shyvana,Fizz,Irelia,1
Kayle,Shaco,Shyvana,Fiddlesticks,Kennen,Vayne,Blitzcrank,Irelia,Corki,Nunu,2
Renekton,Nunu,Alistar,Kog'Maw,Annie,Garen,Hecarim,Karma,Karthus,Blitzcrank,1
Sion,Galio,Lulu,Kennen,Nidalee,Miss,Sona,Anivia,Ezreal,Urgot,1
Lulu,Kayle,Vayne,Heimerdinger,Katarina,Alistar,Caitlyn,Annie,Rammus,Akali,2
Kha'Zix,Lulu,Diana,Graves,Caitlyn,Kassadin,Syndra,Karthus,Anivia,Darius,1
Galio,Jayce,Graves,Kassadin,Janna,Kha'Zix,Rammus,Karthus,Cassiopeia,Diana,1
Janna,Brand,Miss,Singed,Hecarim,Tristana,Fiora,Morgana,Heimerdinger,Shyvana,2
Gragas,Lux,Ezreal,Fiora,Tryndamere,Irelia,Rumble,Diana,Thresh,Ashe,2
Twisted,Master,Janna,Corki,Diana,Urgot,Tristana,Karma,Lulu,Miss,1
Mordekaiser,Shyvana,Garen,Pantheon,Shaco,Kayle,Heimerdinger,Ryze,Tristana,Malphite,2
Pantheon,Rammus,Twitch,LeBlanc,Malzahar,Kassadin,Nasus,Lux,Trundle,Shyvana,1
Katarina,Shen,Fiora,Rumble,LeBlanc,Trundle,Blitzcrank,Brand,Janna,Renekton,2
Brand,Rammus,Orianna,Kassadin,Corki,Renekton,Jayce,Dr.Mundo,Fiora,Diana,1
Twisted,Nami,Jax,Varus,Diana,Thresh,Urgot,Kassadin,Akali,Shyvana,1
Galio,Jax,Nasus,Fiora,Ezreal,Cassiopeia,Nami,Blitzcrank,Diana,Leona,2
Shyvana,Rumble,Kha'Zix,Janna,Vayne,Ashe,Singed,Miss,Mordekaiser,Tryndamere,2
Rumble,Nocturne,Morgana,Ezreal,Graves,Sona,Syndra,Dr.Mundo,Sejuani,Trundle,2
Caitlyn,Mordekaiser,Diana,Elise,Annie,Graves,Amumu,Corki,Nautilus,Draven,2
Heimerdinger,Galio,Amumu,Vi,Nami,Skarner,Singed,Morgana,Thresh,Sona,1
Varus,Corki,Kennen,Karthus,Lux,Sion,Dr.Mundo,Shen,Alistar,Riven,2
Cho'Gath,Nidalee,Nami,Kha'Zix,Fiddlesticks,Draven,Nocturne,Brand,Kennen,Nasus,1
Vayne,Shyvana,Morgana,Anivia,Irelia,Shaco,Sona,Orianna,Blitzcrank,Jayce,2
Master,Jax,Gragas,Shyvana,Brand,Garen,Darius,Rammus,Evelynn,Mordekaiser,2
Shaco,Jarvan,Kayle,Gragas,Garen,Evelynn,Shyvana,Amumu,Skarner,Lee,1
Viktor,Jayce,Malphite,Tristana,Teemo,Cho'Gath,Kha'Zix,Sona,Tryndamere,Riven,2
Alistar,Evelynn,Riven,Twitch,Shaco,Caitlyn,Ezreal,Taric,Heimerdinger,Elise,1
Kog'Maw,Anivia,Miss,Sejuani,Fiora,Amumu,Vayne,Ashe,Gragas,Soraka,1
Annie,Ashe,Cho'Gath,Vi,Caitlyn,Shyvana,Shen,Talon,Orianna,Sona,2
Diana,Rumble,Lee,Riven,Olaf,Cho'Gath,Jax,Veigar,Trundle,Fiora,2
Gragas,Pantheon,Heimerdinger,Trundle,Evelynn,Garen,Soraka,Sion,Thresh,Hecarim,1
Heimerdinger,Soraka,Kog'Maw,Mordekaiser,Sion,Trundle,Thresh,Brand,Irelia,Ezreal,2
Jax,Draven,Pantheon,Heimerdinger,Diana,Olaf,Singed,Mordekaiser,Thresh,Kha'Zix,1
Akali,Malphite,Ashe,Rammus,Morgana,Vi,Orianna,Tristana,Kha'Zix,Trundle,2
Shyvana,Twisted,Jax,Corki,Nami,Kennen,Ezreal,Nunu,Orianna,Darius,2
Elise,Orianna,Fiddlesticks,Lee,Thresh,Jax,Mordekaiser,Vi,Miss,Akali,2
Shyvana,Orianna,Soraka,Garen,Skarner,Shaco,Sejuani,Nautilus,Viktor,Nasus,1
Graves,Trundle,Karthus,Syndra,Fiora,Morgana,Caitlyn,Cho'Gath,Twisted,Annie,1
Sona,Tryndamere,Diana,Sion,Mordekaiser,Alistar,Kayle,Katarina,Fiddlesticks,Vayne,2
Fizz,Master,Akali,Darius,Annie,Garen,Cho'Gath,Elise,Soraka,Shaco,1
Jayce,Lee,Irelia,LeBlanc,Karma,Diana,Dr.Mundo,Twisted,Twitch,Shaco,2
Diana,Amumu,Fiora,Twisted,Morgana,Mordekaiser,Caitlyn,Pantheon,Viktor,Annie,1
Singed,Ashe,Elise,Nami,Thresh,Orianna,Akali,Trundle,Vi,Mordekaiser,2
Galio,Maokai,Rumble,Shyvana,Gragas,Ezreal,Nami,Master,Twisted,Ashe,1
Brand,Varus,Shen,Karthus,Irelia,Rammus,Shyvana,LeBlanc,Draven,Morgana,2
Morgana,Jayce,Sejuani,Galio,Shyvana,LeBlanc,Diana,Lulu,Heimerdinger,Malphite,2
Ryze,Nunu,Rammus,Twitch,Swain,Brand,Karma,Leona,Diana,Nidalee,1
Shyvana,Jax,Singed,Brand,Trundle,Shen,Varus,Ashe,Thresh,Taric,1
Soraka,Teemo,Gragas,Urgot,Morgana,Talon,Diana,Skarner,Trundle,Mordekaiser,2
Malphite,Syndra,Trundle,Draven,Fiora,Vi,Kog'Maw,Corki,Diana,Twisted,2
Lulu,Irelia,Singed,Lux,Heimerdinger,Ezreal,Twitch,Malphite,Riven,Viktor,2
Fizz,Ezreal,Evelynn,Cassiopeia,Orianna,Shaco,Veigar,Kha'Zix,Shen,Kennen,1
Rammus,Alistar,Leona,Karma,Fiora,Mordekaiser,Diana,Tryndamere,Rumble,Katarina,1
Caitlyn,Draven,Cho'Gath,Diana,Tristana,Corki,Fiddlesticks,Rammus,Darius,Trundle,2
Tristana,Diana,Jarvan,Cassiopeia,Twisted,Riven,Teemo,Anivia,Rumble,Lux,1
Thresh,Kha'Zix,Caitlyn,Alistar,Rammus,Draven,Brand,Singed,Trundle,Lux,2
Caitlyn,Nami,Sejuani,Malphite,Kassadin,Trundle,Urgot,Tristana,Elise,Dr.Mundo,1
Elise,Darius,Fiora,Irelia,Corki,Orianna,Lee,Thresh,Nunu,Tristana,2
Elise,Caitlyn,Morgana,Kassadin,Cassiopeia,Vi,Draven,Annie,Brand,Urgot,1
Mordekaiser,Fizz,Hecarim,Ezreal,Tristana,Fiora,Nasus,Vayne,Teemo,Master,1
Vi,Caitlyn,Ashe,Draven,Nautilus,Elise,Orianna,Shyvana,LeBlanc,Sejuani,1
Annie,Blitzcrank,LeBlanc,Shyvana,Malzahar,Lulu,Mordekaiser,Corki,Orianna,Draven,2
Cassiopeia,Diana,Mordekaiser,Karma,Viktor,Kog'Maw,Shaco,Blitzcrank,Rumble,Gragas,2
Kennen,Jax,Sejuani,Singed,Malphite,Vi,Maokai,Blitzcrank,Thresh,Evelynn,1
Blitzcrank,Karthus,Fiora,Sivir,Malzahar,Mordekaiser,Heimerdinger,Kennen,Kassadin,Akali,1
Trundle,Ashe,Nami,Nocturne,Riven,Cassiopeia,Diana,Jax,Anivia,Tristana,1
Varus,Ezreal,Graves,Alistar,Teemo,Sion,Corki,Tristana,Nami,Trundle,2
Kayle,Annie,Draven,Galio,Mordekaiser,Brand,Rammus,Pantheon,Diana,Blitzcrank,1
Udyr,Teemo,Karma,Fizz,Ashe,Irelia,Blitzcrank,Ryze,Diana,Annie,1
Cho'Gath,Sejuani,Viktor,Thresh,Irelia,Fiora,Annie,Diana,Nidalee,Lux,1
Tryndamere,Teemo,Olaf,Varus,Thresh,Poppy,Sona,Singed,Draven,Cho'Gath,2
Blitzcrank,Fiora,Shyvana,Sona,Morgana,Shaco,Udyr,Caitlyn,Trundle,Rammus,2
Malphite,Nidalee,Mordekaiser,Swain,Miss,Cho'Gath,Thresh,Draven,Corki,Amumu,2
Nautilus,Heimerdinger,Teemo,Trundle,Corki,Fiddlesticks,Fiora,Vi,Karma,Draven,1
Karma,Draven,Sona,Lux,Amumu,Urgot,Twisted,Anivia,Fizz,Taric,2
Jayce,Skarner,Cassiopeia,Taric,Rammus,Olaf,Jarvan,Thresh,Cho'Gath,Nautilus,2
Diana,Brand,Fiddlesticks,Amumu,Mordekaiser,Anivia,Thresh,Shyvana,Lux,Shaco,1
Trundle,Vayne,Elise,Twisted,Kassadin,Gragas,Kayle,Thresh,Viktor,Soraka,1
Mordekaiser,Ashe,Garen,Rammus,Udyr,Thresh,Hecarim,Singed,Twitch,Olaf,2
Thresh,Draven,Fiora,Shyvana,Alistar,Cassiopeia,Leona,Singed,Mordekaiser,Urgot,2
Akali,Irelia,Malzahar,Kayle,Heimerdinger,LeBlanc,Twisted,Rumble,Shyvana,Diana,2
Galio,Mordekaiser,Blitzcrank,Akali,Vayne,LeBlanc,Vi,Dr.Mundo,Jax,Rengar,2
Urgot,Ashe,Fiora,Kha'Zix,Malzahar,Cassiopeia,Sejuani,Graves,Viktor,Garen,2
Malphite,Skarner,Pantheon,Teemo,Trundle,Thresh,Swain,Nami,Twisted,Twitch,1
Graves,Irelia,Elise,Kog'Maw,Annie,Diana,Kha'Zix,Mordekaiser,Fiora,Sona,2
Thresh,Ashe,Shyvana,Fiora,Morgana,Swain,Poppy,Diana,Twitch,Orianna,2
Trundle,Evelynn,Garen,Caitlyn,Nunu,Shen,Galio,Shyvana,Nidalee,Orianna,2
Corki,Heimerdinger,Cho'Gath,Orianna,Alistar,Syndra,Irelia,Mordekaiser,Jayce,Viktor,1
Malzahar,Mordekaiser,Corki,Varus,Draven,Morgana,Lee,Ryze,Kog'Maw,Shaco,1
Elise,Malphite,Nasus,Galio,Maokai,Fiddlesticks,Pantheon,Rumble,Kayle,Morgana,1
Kayle,Ezreal,Alistar,Heimerdinger,Mordekaiser,Nidalee,Lee,Nocturne,Sona,Teemo,1
Rammus,Thresh,Orianna,Brand,Jayce,Pantheon,Lulu,Malphite,Vi,Poppy,1
Varus,Sona,Trundle,Graves,Brand,Fiora,Leona,Galio,Draven,Caitlyn,1
Rumble,Evelynn,Ashe,Twitch,Fiddlesticks,Nautilus,Trundle,Jayce,Twisted,Diana,2
Lulu,Lee,Orianna,Draven,Gragas,Alistar,Elise,Shen,Graves,Nami,2
Malphite,Diana,Ashe,Morgana,Kassadin,Ezreal,Nami,Jax,Nautilus,Fiddlesticks,2
Sivir,Shyvana,Caitlyn,Garen,Orianna,Fiora,Nunu,Gragas,Draven,Sion,2
Pantheon,Mordekaiser,Ashe,Diana,Trundle,Malphite,Draven,Singed,Darius,Heimerdinger,2
Rammus,Nasus,Thresh,Annie,Caitlyn,Diana,Twisted,Vayne,Nocturne,Kassadin,2
Fiddlesticks,Orianna,Hecarim,Kennen,Heimerdinger,Kog'Maw,Teemo,Jax,Sejuani,Fiora,2
Jax,Master,Kayle,Jarvan,Amumu,Fiora,Rammus,Varus,Janna,Miss,2
Nasus,Taric,Vayne,Rammus,Udyr,Fiddlesticks,Diana,Irelia,Nautilus,Jarvan,1
Blitzcrank,Mordekaiser,Kayle,Nami,Akali,Trundle,Miss,Heimerdinger,Morgana,Master,2
Draven,Katarina,Darius,Kayle,Ezreal,Teemo,Shaco,Cassiopeia,Alistar,Twisted,1
Fiora,Ezreal,Corki,Poppy,Katarina,Nunu,Shyvana,Graves,Shen,Garen,1
Galio,Annie,Thresh,Lulu,Blitzcrank,Talon,Nocturne,Nasus,Singed,Ashe,1
Rammus,Draven,Soraka,Sona,Dr.Mundo,Fizz,Shen,Kennen,Shyvana,Mordekaiser,2
Katarina,Alistar,Darius,Brand,Sona,Diana,Corki,Fiora,Twisted,Mordekaiser,1
Karma,Poppy,Lux,Nunu,Heimerdinger,Master,Nami,Riven,Rumble,Cho'Gath,1
Cho'Gath,Pantheon,Kha'Zix,Riven,Graves,Alistar,Fiora,Brand,Annie,Kayle,2
Orianna,Shyvana,Jax,Dr.Mundo,Leona,Garen,Twisted,Olaf,Kha'Zix,Mordekaiser,1
Nami,Rammus,Mordekaiser,Kha'Zix,Irelia,Cho'Gath,Syndra,Diana,Ezreal,Master,1
Diana,Shen,Corki,Renekton,Annie,Kassadin,Kayle,Lux,Miss,Lulu,2
Malzahar,Vi,Cho'Gath,Maokai,Kayle,Mordekaiser,Trundle,Fiora,Kha'Zix,Elise,2
LeBlanc,Orianna,Kennen,Sona,Nasus,Twitch,Swain,Galio,Lulu,Nami,1
Corki,Draven,Lux,Shyvana,Viktor,Sejuani,Lulu,Kha'Zix,Gragas,Cassiopeia,1
Swain,Morgana,Gragas,Trundle,Caitlyn,Kassadin,Nasus,Mordekaiser,Cho'Gath,Ashe,2
Ashe,Tristana,Fiora,Fizz,Mordekaiser,Twitch,Fiddlesticks,Veigar,Thresh,Kayle,1
Kassadin,Diana,Twitch,Nidalee,Vayne,Shyvana,Sion,Talon,Brand,Urgot,1
Lee,Kha'Zix,Shyvana,Orianna,Amumu,Diana,Annie,Akali,Master,Rammus,2
Diana,Master,Brand,Renekton,Trundle,Katarina,Leona,Shaco,Sona,Ryze,1
Ryze,Caitlyn,Jayce,Udyr,Fiddlesticks,Diana,Kog'Maw,Riven,Master,Sona,2
Urgot,Olaf,Master,Nunu,Nidalee,Pantheon,Fizz,Irelia,Tristana,Kennen,2
Kayle,Cho'Gath,Vi,Tristana,Kassadin,Shyvana,Thresh,Mordekaiser,Fiddlesticks,Akali,2
Shaco,Alistar,Thresh,Ashe,Kayle,Jax,Corki,Poppy,Swain,Shyvana,1
Karma,Singed,Graves,Jax,Soraka,Sona,Shaco,Poppy,Diana,Master,2
Fizz,Nocturne,Mordekaiser,Corki,Fiora,Alistar,Galio,Blitzcrank,Thresh,Tryndamere,1
Shaco,Malphite,Veigar,Fiddlesticks,Morgana,Ashe,Orianna,Vi,Thresh,Shyvana,1
Orianna,Fiddlesticks,Fizz,Draven,Nocturne,Rumble,Amumu,Caitlyn,Kassadin,Cassiopeia,1
Cho'Gath,Jarvan,Talon,Poppy,Sona,Soraka,Fiora,Shyvana,Master,Lee,1
Kog'Maw,Soraka,Akali,Kennen,Leona,Ashe,Veigar,Shyvana,Teemo,Fiora,2
Diana,Kog'Maw,Singed,Trundle,Pantheon,Anivia,Fiora,Nautilus,Hecarim,Garen,1
Fiora,Mordekaiser,Taric,Diana,Shen,Miss,Ashe,Brand,Rumble,Maokai,2
Orianna,Vi,Lee,Kayle,Graves,Jarvan,Karma,Morgana,Fiddlesticks,Shyvana,2
Darius,Nautilus,Shaco,Kha'Zix,Corki,Singed,Fiora,Swain,Rumble,Lux,2
Cho'Gath,Mordekaiser,Rengar,Heimerdinger,Anivia,Master,Ashe,Trundle,Urgot,Swain,2
Kennen,Shaco,Irelia,Nautilus,Karma,Amumu,Jarvan,Orianna,Lulu,Blitzcrank,1
Kassadin,Mordekaiser,Ryze,Diana,Talon,Fiddlesticks,Renekton,Taric,Kennen,Vayne,2
Darius,Katarina,Fiora,Brand,Diana,Nautilus,Corki,Poppy,Shen,Malphite,1
Blitzcrank,Pantheon,Gragas,Shen,Karthus,Ashe,Amumu,Morgana,Lulu,Kennen,2
Vayne,Caitlyn,Gragas,Shyvana,Varus,Teemo,Diana,Fiora,Ashe,Trundle,1
Trundle,Varus,Kassadin,Kha'Zix,Twisted,Vi,Sejuani,Cassiopeia,Thresh,Lee,2
Annie,Akali,Vayne,Morgana,Lee,Singed,Fizz,Graves,Poppy,Pantheon,2
Shyvana,Trundle,Cho'Gath,Fiora,Jayce,Blitzcrank,Draven,Rengar,Malphite,Kassadin,1
Ashe,Diana,Thresh,Blitzcrank,Caitlyn,Cho'Gath,Janna,Tryndamere,Poppy,Draven,1
Ashe,Rengar,Karma,Sejuani,Ryze,Lee,Soraka,Caitlyn,Sona,Diana,2
Sona,Janna,Malzahar,Sion,Diana,Morgana,Lux,Katarina,Garen,Kayle,2
Sejuani,Nocturne,Miss,Caitlyn,Irelia,Sona,Heimerdinger,Shyvana,Ryze,Alistar,2
Jax,Fiddlesticks,Taric,Evelynn,Nautilus,Diana,Cassiopeia,Twisted,Poppy,Anivia,2
Varus,Urgot,Malzahar,Diana,Janna,Mordekaiser,Draven,Gragas,Corki,Fiora,2
Poppy,Karma,Nidalee,Diana,Cho'Gath,Orianna,Kennen,Nautilus,Lee,Kayle,1
Fiora,Cassiopeia,Sejuani,Teemo,Cho'Gath,Kha'Zix,Kennen,Veigar,Irelia,Mordekaiser,2
Lux,Sion,Nocturne,Teemo,Twisted,Thresh,Amumu,Kha'Zix,Karma,Alistar,1
Lulu,Annie,Vi,Gragas,Garen,Soraka,Fiddlesticks,LeBlanc,Akali,Cassiopeia,1
Irelia,Malzahar,Fiddlesticks,Ashe,Kassadin,Soraka,Diana,Gragas,Veigar,Brand,1
Viktor,Kayle,Riven,Miss,Morgana,Hecarim,Diana,Swain,Brand,Cho'Gath,1
Katarina,Annie,Akali,Fizz,Brand,Evelynn,Jax,Nami,Graves,Diana,1
Kha'Zix,Jax,Irelia,Thresh,Nami,Lulu,Jarvan,Master,Cho'Gath,Ashe,1
Nocturne,Diana,Blitzcrank,Veigar,Skarner,Sivir,Varus,Rengar,Lux,Amumu,1
Mordekaiser,Ryze,Fiora,Janna,Lulu,Annie,Graves,Morgana,Viktor,Cassiopeia,1
Annie,Nunu,Fiddlesticks,Vayne,Cassiopeia,Katarina,Garen,Malzahar,Corki,Cho'Gath,1
Taric,Malphite,Thresh,Urgot,Kayle,Irelia,Orianna,Veigar,Alistar,Caitlyn,2
LeBlanc,Malzahar,Shaco,Fiddlesticks,Morgana,Lee,Fiora,Jayce,Kog'Maw,Trundle,2
Elise,Annie,Orianna,Amumu,Master,Nasus,Nautilus,Irelia,Caitlyn,Blitzcrank,1
Kennen,Orianna,Nocturne,Kassadin,Jarvan,Sejuani,Tristana,Lulu,Karthus,Rumble,1
Kayle,Urgot,Rengar,Mordekaiser,Singed,Rumble,Annie,Udyr,Pantheon,Shaco,2
Shyvana,Ashe,Fiddlesticks,Twitch,Diana,Rengar,Jayce,Fiora,Malphite,Orianna,2
Ashe,Darius,Jayce,Leona,Morgana,Skarner,Nautilus,Gragas,Singed,Shaco,2
Irelia,Veigar,Fizz,Annie,Trundle,Riven,Morgana,Ashe,Singed,Garen,1
Ashe,Twisted,LeBlanc,Taric,Fizz,Swain,Kennen,Rumble,Shen,Ezreal,1
Vayne,Fiddlesticks,Karma,Alistar,Fiora,Elise,Irelia,Graves,Ezreal,Orianna,1
Kassadin,Shen,Caitlyn,Skarner,Mordekaiser,Thresh,Ashe,Nunu,Twitch,Garen,1
Mordekaiser,Nunu,Heimerdinger,Malphite,Poppy,Twitch,Ezreal,Thresh,Karthus,Singed,2
Akali,Kog'Maw,Malphite,Thresh,Irelia,Amumu,Garen,Diana,Ashe,Blitzcrank,1
Corki,Rammus,Kennen,Syndra,Graves,Sivir,Gragas,Lee,Ryze,Galio,1
Hecarim,Sona,Orianna,Swain,Cho'Gath,Kha'Zix,Garen,Elise,Heimerdinger,Vayne,2
Anivia,Lux,Thresh,Shyvana,Nautilus,Kha'Zix,Viktor,Malzahar,Fiora,Amumu,2
Twisted,Diana,Evelynn,Fiddlesticks,Pantheon,Cassiopeia,Teemo,Janna,Urgot,Morgana,1
Kennen,Morgana,Caitlyn,Malzahar,Maokai,Diana,Karthus,Renekton,Sivir,Kayle,2
Mordekaiser,Vayne,Singed,Nunu,Tristana,Ryze,Shen,Sejuani,Miss,Malphite,2
Shyvana,Fiora,Syndra,Sejuani,Malphite,Hecarim,Twitch,Master,Swain,Diana,2
Diana,Sion,Galio,Sejuani,Ashe,Trundle,Shyvana,Jarvan,Lulu,Kayle,2
Alistar,Fiora,Teemo,Corki,Twisted,Lulu,Irelia,Darius,Poppy,Kha'Zix,1
Shyvana,Mordekaiser,Katarina,Fiora,Vayne,Ashe,Irelia,Kog'Maw,Darius,Orianna,1
Shen,Kassadin,Shyvana,Jarvan,Kha'Zix,Ryze,Annie,Orianna,Gragas,Sivir,2
Karthus,Master,Orianna,Irelia,Viktor,Diana,Graves,Nasus,Pantheon,Evelynn,1
Evelynn,Sona,Tristana,Katarina,Morgana,Annie,Heimerdinger,Nocturne,Diana,Trundle,2
Karma,Garen,Kha'Zix,Annie,Corki,Galio,Evelynn,Dr.Mundo,Cassiopeia,Graves,1
Kayle,Darius,Rengar,Brand,Trundle,Malphite,Karthus,Vi,Poppy,Ashe,2
Teemo,Nocturne,Singed,Draven,Orianna,Master,Morgana,Riven,Shaco,Miss,1
Morgana,Graves,Caitlyn,Master,Cho'Gath,Diana,Miss,Mordekaiser,Kog'Maw,Jarvan,2
Galio,Rumble,Alistar,Karthus,Mordekaiser,Karma,Lee,Irelia,Pantheon,Blitzcrank,1
Nasus,Cho'Gath,Karthus,Taric,Soraka,Leona,Orianna,Ashe,Master,Twitch,1
Darius,Annie,Garen,Alistar,Sivir,Fiddlesticks,Rammus,Cho'Gath,Caitlyn,Leona,1
Corki,Akali,Morgana,Amumu,Fizz,Rammus,Kennen,Nautilus,Annie,Heimerdinger,1
Sona,Cassiopeia,Corki,Ryze,Vi,Karma,Amumu,Tryndamere,Olaf,Veigar,1
Nocturne,Shyvana,Hecarim,Trundle,Corki,Leona,Urgot,Elise,Sivir,Jax,1
